label,value
Study Abroad (214),ABRD
Anatomy and Cell Biology (6),ACB
Accounting (29),ACCT
Actuarial Science (15),ACTS
Aerospace Studies (17),AERO
African American Studies (48),AFAM
Amer Indian Native Stud (28),AINS
American Studies (58),AMST
Animation (4),ANIM
Anthropology (112),ANTH
Arabic (19),ARAB
Art Education (2),ARTE
Art History (108),ARTH
General Art (36),ARTS
Asian Lang and Lit (40),ASIA
American Sign Language (15),ASL
Amer Sign Lang in Engl (2),ASLE
Aging Studies Program (23),ASP
Astronomy (21),ASTR
Athletic Training Prog (17),ATEP
Belin-Blank Gift Educ Ctr (1),BBC
Biochemistry (12),BIOC
Biology (68),BIOL
Biostatistics (3),BIOS
Papermaking (13),BKAT
Biomedical Engineering (52),BME
Biomedical & Health Sci (4),BMS
Business Administration (24),BUS
Chem and Biochem Enginer (50),CBE
Commun and Behav Hlth (4),CBH
Critical Cultural Cmptncy (2),CCCC
Career Center Programs (31),CCP
Ctr for Divers Enrichmnt (2),CDE
Civil and Environ Enginer (97),CEE
Ceramics (6),CERM
Chemistry (35),CHEM
Asian Lang and Lit (20),CHIN
Cinema (31),CINE
Comparative Literature (17),CL
Lib Arts & Sci Non-Dept (7),CLAS
Classics: Ancient Civil (34),CLSA
Greek (9),CLSG
Latin (13),CLSL
Creative Nonfiction Wrtg (22),CNW
Communication Studies (45),COMM
"Criminology, Law & Justc (12)",CRIM
Computer Science (39),CS
Comm Sciences & Disorders (48),CSD
College Success Init (18),CSI
Creat Writ-Writers Wrkshp (28),CW
Dance (64),DANC
Div of Performing Arts (9),DPA
Drawing (4),DRAW
Design (9),DSGN
Disability Studies (1),DST
Education Interdepartment (2),EALL
Electrical & Comptr Engin (31),ECE
Economics (36),ECON
Educ Teaching & Learning (124),EDTL
Earth & Environmental Sci (42),EES
Educ Hnrs Opportnty Prog (1),EHOP
English (89),ENGL
Core Engineering Courses (33),ENGR
Entrepreneurship (25),ENTR
Environmental Sciences (8),ENVS
Educ Polcy  Ldrship Stds (40),EPLS
English as a Second Lang (7),ESL
Event Planning (4),EVNT
Finance (38),FIN
Fndrsng & Philanthrpy Com (3),FPC
French (30),FREN
Genetics (2),GENE
Geography (38),GEOG
Global Health Studies (39),GHS
German (21),GRMN
Gndr/Wmns/Sxlty Studies (46),GWSS
Health & Human Physiology (68),HHP
History (79),HIST
Honors Program (13),HONR
Physical Education Skills (29),HPAS
Center for Human Rights (1),HRTS
Iowa Bioscience Academy (2),IBA
Industrial Engineering (24),IE
Intrdis Gr Prog Informtcs (16),IGPI
Iowa Intensv English Prog (21),IIEP
Interdepartmental Studies (10),INTD
Intermedia (3),INTM
International Studies (26),IS
Italian (13),ITAL
Journalism & Mass Comm (60),JMC
Japanese (16),JPNS
Korean (7),KORE
Latin American Studies (9),LAS
Latham Initiative (2),LATH
Law (1),LAW
Linguistics (23),LING
Lifetime Leisure Skills (30),LLS
Leadership Studies (11),LS
Mathematics (60),MATH
Graduate Management Prog (21),MBA
Medieval Studies (3),MDVL
Mechanical Engineering (31),ME
Carver Coll of Medicine (1),MED
Management (34),MGMT
Military Science (9),MILS
Marketing (29),MKTG
Physiology and Biophysics (1),MPB
Management Sciences (36),MSCI
Metalworking and Jewelry (6),MTLS
Music (228),MUS
Museum Studies (9),MUSM
Neuroscience (2),NSCI
Nursing (2),NURS
Occupational Environ Hlth (3),OEH
Optical Sci & Tech Ctr (1),OSTC
Pharmacy (1),PHAR
Philosophy (32),PHIL
Photography (7),PHTO
Physics (36),PHYS
Painting (6),PNTG
Political Science (58),POLI
Portuguese (10),PORT
Printmaking (8),PRNT
Psych & Quant Foundations (51),PSQF
Psychology (58),PSY
Rehab & Counselor Ed (59),RCE
UI REACH (18),REA
Religious Studies (60),RELS
Rhetoric (23),RHET
Sculpture (6),SCLP
Science Education (5),SIED
Social Justice (3),SJUS
Secnd Lang Acquisition (15),SLA
Russian (12),SLAV
Asian Lang and Lit (3),SOAS
Sociology (33),SOC
Spanish (46),SPAN
Sport Studies (25),SPST
Sport & Recreation Mgmnt (28),SRM
School of Social Work (47),SSW
Statistics (35),STAT
Swahili (4),SWAH
TA Preparation in English (3),TAPE
Three-Dimensional Design (9),TDSN
Theatre Arts (67),THTR
Therapeutic Recreation (21),TR
Translation (15),TRNS
Univ of IA Cntr for Book (15),UICB
University Libraries (2),ULIB
Undergrad Research Exp (5),URES
Urban & Regional Plan (3),URP
"World Lang, Lit & Cltr (5)",WLLC
Writing (17),WRIT
